User_Id,Hotel_Id,Rating,Timestamp
1,44,4.9,964982400
1,31,5,964982838
1,17,4.6,964982176
1,10,4.8,964984002
1,2,4.6,964982931
1,6,4,964982563
2,7,4,964980868
2,8,4,964982271
2,9,5,964983815
2,1,3,964982563
2,2,4,964982653
2,3,5,964981909
2,13,4,964982400
3,44,5,964984041
3,31,4.4,964980962
3,17,4.7,964981179
3,10,5,964984100
3,2,4.9,964981179
3,19,5,964983650
3,20,3,964982310
4,21,5,964981208
4,1,3,964984086
4,2,4,964981710
4,3,3,964980985
4,27,4,964980499
4,13,5,964982475
4,14,4,964982546
5,44,4.7,964982653
5,31,5,964982967
5,17,4.3,964981680
5,10,4.7,964982363
5,2,4.3,964981529
5,36,5,964982176
5,37,4,964980908
5,38,3,964981208
6,40,5,964984153
6,41,5,964982838
6,42,3,964981775
6,43,4,964982224
6,45,5,964982588
6,46,5,964980868
6,13,4,964981247
6,14,4,964983614
6,15,4,964982703
6,16,5,964982931
6,17,4.7,964983793
7,44,4.5,964981179
7,31,4.2,964982346
7,17,4.8,964982400
7,10,4.9,964982838
7,2,4.6,964982176
7,57,5,964984002
7,58,5,964982931
7,59,4,964982563
7,60,4,964980868
7,61,4,964982271
7,62,5,964983815
7,63,3,964982563
7,64,4,964982653
7,65,5,964981909
8,13,4,964982400
8,14,5,964984041
8,15,5,964980962
8,16,5,964981179
8,17,5,964984100
8,18,5,964981179
8,19,5,964983650
8,73,3,964982310
8,74,5,964981208
8,75,3,964984086
8,76,4,964981710
8,77,3,964980985
8,78,4,964980499
8,79,5,964982475
8,80,4,964982546
8,81,3,964982653
8,82,3,964982967
9,83,5,964981680
9,84,3,964982363
9,85,5,964981529
9,86,5,964982176
9,87,4,964980908
9,88,3,964981208
9,89,5,964984153
9,90,5,964982838
9,91,3,964981775
9,92,4,964982224
9,93,5,964982588
9,94,5,964980868
9,95,4,964981247
9,44,4.6,964983614
9,31,4,964982703
9,17,4.9,964982931
9,10,4.8,964983793
9,2,4,964981179
